pair_id,split,narr_mode,realism,nonnarr_style,tense_narr,tense_nonnarr,tense_polarity,context,prompt_narrative,prompt_nonnarrative,text_narrative,text_nonnarrative,n_words_narr,n_words_nonnarr
v2-tr-11,train,scenic_past,realistic,criterial,past,present,default,rail_track,"Continue the text below.

Vasile walked the up line from the viaduct to the tunnel mouth every Tuesday for twenty-two years. On the last Tuesday he found the gauge wide by nine millimetres over four sleepers, and the keys sound, and the chairs sound, and no reason for it anywhere he could see. He packed the ballast, wrote it in the book, and walked back to look at it again before dark.","Continue the text below.

Gauge is a fault at a threshold rather than by degree: nine millimetres wide over four sleepers is within tolerance on straight track and outside it on any curve. Soundness of keys and chairs bears on the cause and not on the classification. Ballast is a remedy for a subsiding fault and no remedy where keys and chairs are sound, since the widening then lies in the rail itself.","Vasile walked the up line from the viaduct to the tunnel mouth every Tuesday for twenty-two years. On the last Tuesday he found the gauge wide by nine millimetres over four sleepers, and the keys sound, and the chairs sound, and no reason for it anywhere he could see. He packed the ballast, wrote it in the book, and walked back to look at it again before dark.","Gauge is a fault at a threshold rather than by degree: nine millimetres wide over four sleepers is within tolerance on straight track and outside it on any curve. Soundness of keys and chairs bears on the cause and not on the classification. Ballast is a remedy for a subsiding fault and no remedy where keys and chairs are sound, since the widening then lies in the rail itself.",68,69
v2-tr-12,train,oral,realistic,criterial,past,past,both_past,beekeeping,"Continue the text below.

Marku kept eleven hives on the south wall and the ninth swarmed twice in one summer, which he took as an insult. He opened it in July and there was brood in every frame and no queen anywhere in it. He shut it again. In August it swarmed a third time, and when he opened it that evening there were two queens on the same comb, and neither would fight.","Continue the text below.

Queenlessness was read from the brood and not from the temper of a hive, and brood of all ages in every frame was sufficient evidence of a laying queen whether one was seen or not. A hive opened in July and again in August gave two readings of one condition. Two queens on one comb were classed as a supersedure rather than a swarm, and were left alone.","Marku kept eleven hives on the south wall and the ninth swarmed twice in one summer, which he took as an insult. He opened it in July and there was brood in every frame and no queen anywhere in it. He shut it again. In August it swarmed a third time, and when he opened it that evening there were two queens on the same comb, and neither would fight.","Queenlessness was read from the brood and not from the temper of a hive, and brood of all ages in every frame was sufficient evidence of a laying queen whether one was seen or not. A hive opened in July and again in August gave two readings of one condition. Two queens on one comb were classed as a supersedure rather than a swarm, and were left alone.",70,68
v2-tr-13,train,present,realistic,technical,present,past,reversed,handloom,"Continue the text below.

Aurel finds the fault on the third pick. One warp thread is riding above the heddle eye instead of through it, and every shed since has closed on it, so the cloth carries a float four rows deep. He stops the loom mid-beat. He does not unpick yet; he leans in and follows the thread back along the warp to the beam, looking for where it left its eye.","Continue the text below.

On a countermarch loom the shed was the interval between the lifted and the unlifted warp, and every thread's position in it was fixed by the eye of one heddle. A float was a length of warp outside that control, unbound on the face of the cloth. Its depth in rows was a measure of the number of picks affected, not of the severity of the fault.","Aurel finds the fault on the third pick. One warp thread is riding above the heddle eye instead of through it, and every shed since has closed on it, so the cloth carries a float four rows deep. He stops the loom mid-beat. He does not unpick yet; he leans in and follows the thread back along the warp to the beam, looking for where it left its eye.","On a countermarch loom the shed was the interval between the lifted and the unlifted warp, and every thread's position in it was fixed by the eye of one heddle. A float was a length of warp outside that control, unbound on the face of the cloth. Its depth in rows was a measure of the number of picks affected, not of the severity of the fault.",69,67
v2-tr-14,train,scenic_past,realistic,technical,past,present,default,pipe_organ,"Continue the text below.

Ilse pulled the great open diapason at the end of the voluntary and the whole west end of the church went out of tune at once. She held it. Four pipes in the middle of the rank were a quarter-tone flat together, which was not damp and not dust, and she knew the sound of both. She finished on the flutes and went up into the loft with a lamp.","Continue the text below.

A rank of pipes is fed from one wind-chest through a single slider, and its pitch is a function of the pressure in that chest and of the length of each pipe. A run of adjacent pipes flat by an equal interval is a property of the chest, since dust and damp are local to the pipe and give scattered rather than adjacent deviation across a rank.","Ilse pulled the great open diapason at the end of the voluntary and the whole west end of the church went out of tune at once. She held it. Four pipes in the middle of the rank were a quarter-tone flat together, which was not damp and not dust, and she knew the sound of both. She finished on the flutes and went up into the loft with a lamp.","A rank of pipes is fed from one wind-chest through a single slider, and its pitch is a function of the pressure in that chest and of the length of each pipe. A run of adjacent pipes flat by an equal interval is a property of the chest, since dust and damp are local to the pipe and give scattered rather than adjacent deviation across a rank.",70,67
v2-tr-15,train,present,non_realistic,technical,present,past,reversed,watch_escapement,"Continue the text below.

Nen has the case open and the movement face down on the pad and the escapement is doing something no escapement does. The balance turns one way. It has turned one way for six hours by the wall clock, never back, and the hairspring is neither wound nor slack. Under the loupe the pallet jewels are not touching the escape wheel at all, and the wheel is turning too.","Continue the text below.

In a lever escapement the balance was coupled to the escape wheel through two pallet jewels, and its motion was necessarily reciprocal: each impulse was the release of one tooth and the locking of the next. The hairspring was the return element and set the period. Contact between pallet and wheel was the whole of the coupling, and without it the balance and the wheel were independent bodies of independent period.","Nen has the case open and the movement face down on the pad and the escapement is doing something no escapement does. The balance turns one way. It has turned one way for six hours by the wall clock, never back, and the hairspring is neither wound nor slack. Under the loupe the pallet jewels are not touching the escape wheel at all, and the wheel is turning too.","In a lever escapement the balance was coupled to the escape wheel through two pallet jewels, and its motion was necessarily reciprocal: each impulse was the release of one tooth and the locking of the next. The hairspring was the return element and set the period. Contact between pallet and wheel was the whole of the coupling, and without it the balance and the wheel were independent bodies of independent period.",69,71
v2-tr-16,train,scenic_past,non_realistic,technical,past,past,both_past,windmill_cap,"Continue the text below.

The mill above Sarvar turned its cap into the wind on the fifth of every month whatever the wind was doing, and the miller's son sat under the fantail one November to watch it happen. The fantail was still. The cap came round anyway, forty degrees against the wind, and settled, and the sails began to turn backwards and grind as well as they ever had.","Continue the text below.

The cap of a tower mill was carried on a curb of rollers and was turned by a fantail geared down to a worm on the curb. The fantail was the sole source of that motion and stood at right angles to the sails, so that any wind across the cap was its drive. With the fantail at rest the cap and the wind were in a fixed relation.","The mill above Sarvar turned its cap into the wind on the fifth of every month whatever the wind was doing, and the miller's son sat under the fantail one November to watch it happen. The fantail was still. The cap came round anyway, forty degrees against the wind, and settled, and the sails began to turn backwards and grind as well as they ever had.","The cap of a tower mill was carried on a curb of rollers and was turned by a fantail geared down to a worm on the curb. The fantail was the sole source of that motion and stood at right angles to the sails, so that any wind across the cap was its drive. With the fantail at rest the cap and the wind were in a fixed relation.",66,69
v2-tr-17,train,oral,realistic,technical,past,present,default,printing_press,"Continue the text below.

The press at Trencsen had a platen that came down true on the left and shy on the right by the thickness of a card, and every apprentice was told about it on the first day. They packed the tympan under the right side and it printed clean for forty years. When the frame was finally trued in ninety-one the packing stayed in, and it printed shy on the left.","Continue the text below.

Impression on a hand press is a function of the parallelism between platen and bed, and is adjusted at the tympan rather than at the frame. Packing under one side of the tympan is a rise on that side of the thickness of the packing. The correction is therefore a property of the packing and not of the platen, and is specific to the frame it fits.","The press at Trencsen had a platen that came down true on the left and shy on the right by the thickness of a card, and every apprentice was told about it on the first day. They packed the tympan under the right side and it printed clean for forty years. When the frame was finally trued in ninety-one the packing stayed in, and it printed shy on the left.","Impression on a hand press is a function of the parallelism between platen and bed, and is adjusted at the tympan rather than at the frame. Packing under one side of the tympan is a rise on that side of the thickness of the packing. The correction is therefore a property of the packing and not of the platen, and is specific to the frame it fits.",70,67
v2-tr-18,train,present,non_realistic,technical,present,past,reversed,centrifuge_ring,"Continue the text below.

The ring is at eight-tenths of a gravity and Oyeyemi is standing in the spoke access with a wrench she has no use for, listening. There is a beat in it. Once a revolution something in the outboard bearing takes up and lets go, and the whole ring steps a hand's width out of true and steps back, and the gauges on the hub read nothing at all.","Continue the text below.

A habitation ring was supported at the hub on a single bearing race and was stiff only in the plane of rotation. Displacement out of that plane was resisted by the spokes in tension and was therefore periodic at the rotation frequency wherever any one spoke was slack. Hub instruments were referenced to the hub and were insensitive to displacement of the rim at any frequency.","The ring is at eight-tenths of a gravity and Oyeyemi is standing in the spoke access with a wrench she has no use for, listening. There is a beat in it. Once a revolution something in the outboard bearing takes up and lets go, and the whole ring steps a hand's width out of true and steps back, and the gauges on the hub read nothing at all.",A habitation ring was supported at the hub on a single bearing race and was stiff only in the plane of rotation. Displacement out of that plane was resisted by the spokes in tension and was therefore periodic at the rotation frequency wherever any one spoke was slack. Hub instruments were referenced to the hub and were insensitive to displacement of the rim at any frequency.,68,66
v2-tr-19,train,folktale,non_realistic,technical,past,past,both_past,automaton,"Continue the text below.

A duke had an automaton that wrote his name in a fair hand, and he showed it to every visitor for eleven years. In the twelfth a girl who cleaned the room noticed that it wrote the name in a different hand on Sundays, smaller and sloped the other way, and that nobody wound it on Saturday nights, and that it wrote on Sundays all the same.","Continue the text below.

A writing automaton stored its text as a cam stack, one cam to each stroke, and the hand it produced was a property of the cam profiles rather than of the mechanism that read them. Selection between stacks was by a lever at the base. The mainspring was the sole source of power, and its state of wind bore on speed alone and not on legibility.","A duke had an automaton that wrote his name in a fair hand, and he showed it to every visitor for eleven years. In the twelfth a girl who cleaned the room noticed that it wrote the name in a different hand on Sundays, smaller and sloped the other way, and that nobody wound it on Saturday nights, and that it wrote on Sundays all the same.","A writing automaton stored its text as a cam stack, one cam to each stroke, and the hand it produced was a property of the cam profiles rather than of the mechanism that read them. Selection between stacks was by a lever at the base. The mainspring was the sole source of power, and its state of wind bore on speed alone and not on legibility.",67,66
v2-tr-20,train,scenic_past,realistic,technical,past,present,default,canal_lock,"Continue the text below.

Brona worked the bottom lock at Ardara for nine seasons and never had a chamber empty in under four minutes until the March the culvert silted. That morning it took eleven. She raised the paddles full and stood on the beam and watched the water come down the wall in a thin sheet instead of a boil, and the level in the chamber hardly moved at all.","Continue the text below.

A lock empties through culverts in the chamber wall, and the rate is set by the smallest cross-section anywhere in that path rather than by the opening of the paddles. Full paddle travel is therefore no guarantee of full flow. Sheet discharge at the wall face rather than turbulence is a property of low velocity, and low velocity in a fixed culvert is a matter of obstruction.","Brona worked the bottom lock at Ardara for nine seasons and never had a chamber empty in under four minutes until the March the culvert silted. That morning it took eleven. She raised the paddles full and stood on the beam and watched the water come down the wall in a thin sheet instead of a boil, and the level in the chamber hardly moved at all.","A lock empties through culverts in the chamber wall, and the rate is set by the smallest cross-section anywhere in that path rather than by the opening of the paddles. Full paddle travel is therefore no guarantee of full flow. Sheet discharge at the wall face rather than turbulence is a property of low velocity, and low velocity in a fixed culvert is a matter of obstruction.",67,67
v2-tr-21,train,present,realistic,taxonomy,present,present,both_present,restaurant_pass,"Continue the text below.

Second service and the pass is backed up four plates. Ivo has the tongs in his left hand and is holding a sauce spoon in his teeth because both burners went at once. He sets down the halibut, wipes the rim with his thumb, and sees the sauce has broken — a grey ring already spreading at the edge of the plate. He calls for a new plate and starts again.","Continue the text below.

An emulsion differs from a suspension in what holds the two phases apart: in the first, a film at the interface; in the second, nothing but the viscosity of the medium. Broken and split are not synonyms. A broken sauce is one without the film, separated by density, grey at the rim and clear beneath. A split one is intact but over-thinned, an error of proportion rather than of technique.","Second service and the pass is backed up four plates. Ivo has the tongs in his left hand and is holding a sauce spoon in his teeth because both burners went at once. He sets down the halibut, wipes the rim with his thumb, and sees the sauce has broken — a grey ring already spreading at the edge of the plate. He calls for a new plate and starts again.","An emulsion differs from a suspension in what holds the two phases apart: in the first, a film at the interface; in the second, nothing but the viscosity of the medium. Broken and split are not synonyms. A broken sauce is one without the film, separated by density, grey at the rim and clear beneath. A split one is intact but over-thinned, an error of proportion rather than of technique.",70,70
v2-tr-22,train,oral,realistic,taxonomy,past,present,default,wine_cellar,"Continue the text below.

There was a cellarman at Vouvray who could name a fault in a glass before it reached his mouth and was wrong about one bottle in his life. It was a magnum from ninety-four and he called it cork across the room. They opened it and the cork was sound as a bell. He drank a glass, said nothing, and never called a fault from across a room again.","Continue the text below.

Cork taint differs from oxidation in what it removes rather than in what it adds: the first mutes fruit and leaves the structure intact, the second flattens the structure and leaves an apple note in its place. Reduction is a third and separate class, distinguished from both by its reversibility in air. None of the three is diagnosable from the state of the cork itself, nor from its age.","There was a cellarman at Vouvray who could name a fault in a glass before it reached his mouth and was wrong about one bottle in his life. It was a magnum from ninety-four and he called it cork across the room. They opened it and the cork was sound as a bell. He drank a glass, said nothing, and never called a fault from across a room again.","Cork taint differs from oxidation in what it removes rather than in what it adds: the first mutes fruit and leaves the structure intact, the second flattens the structure and leaves an apple note in its place. Reduction is a third and separate class, distinguished from both by its reversibility in air. None of the three is diagnosable from the state of the cork itself, nor from its age.",69,69
v2-tr-23,train,scenic_past,non_realistic,taxonomy,past,present,default,ship_rigging,"Continue the text below.

The Hesperine carried nine miles of cordage and one length of it would not take a splice. Kovac tried it four times off Cadiz and the lay opened every time within a fathom of the join. On the fifth he laid it up over a thimble instead and it held to the end of the voyage, and it held when they tested it to breaking in Lisbon at twice its rated load.","Continue the text below.

A splice differs from a knot in that it is made within the lay of the rope and not around it, so a splice is a property of the rope's construction and a knot is a property of its path. A hitch is a third class, distinguished from both by requiring a second object. Only the first of the three is sensitive to the lay, and only the first is permanent.","The Hesperine carried nine miles of cordage and one length of it would not take a splice. Kovac tried it four times off Cadiz and the lay opened every time within a fathom of the join. On the fifth he laid it up over a thimble instead and it held to the end of the voyage, and it held when they tested it to breaking in Lisbon at twice its rated load.","A splice differs from a knot in that it is made within the lay of the rope and not around it, so a splice is a property of the rope's construction and a knot is a property of its path. A hitch is a third class, distinguished from both by requiring a second object. Only the first of the three is sensitive to the lay, and only the first is permanent.",72,71
v2-tr-24,train,scenic_past,non_realistic,taxonomy,past,present,default,physician_ward,"Continue the text below.

The physician at Ravensmoor kept a chart of the sick with three columns and by the second week she had drawn a fourth. The new column had two names in it. Both had the flush and the tremor of the second column and neither had the fever, and both were sitting up and talking on the ninth day, and everyone in the second column was gone by the seventh.","Continue the text below.

The three classes are distinguished by which signs occur together, not by severity. Flush with fever is the first class; tremor with fever is the second. Flush and tremor without fever belong to neither, and are a fourth class rather than a mild form of the second, since the ninth day is the point of divergence and mildness alone would not produce a divergence of that kind.","The physician at Ravensmoor kept a chart of the sick with three columns and by the second week she had drawn a fourth. The new column had two names in it. Both had the flush and the tremor of the second column and neither had the fever, and both were sitting up and talking on the ninth day, and everyone in the second column was gone by the seventh.","The three classes are distinguished by which signs occur together, not by severity. Flush with fever is the first class; tremor with fever is the second. Flush and tremor without fever belong to neither, and are a fourth class rather than a mild form of the second, since the ninth day is the point of divergence and mildness alone would not produce a divergence of that kind.",69,67
v2-tr-25,train,folktale,non_realistic,taxonomy,past,past,both_past,hill_smithy,"Continue the text below.

A smith in the hills graded her steel in four names and sold the third for the price of the first, and no lord who bought it ever complained. Her daughter asked why. She said the fourth grade broke, and the first grade held, and the second and third both held, and only one man in a hundred could tell the second from the third, and none of them bought steel.","Continue the text below.

The four grades were distinguished by carbon and by the evenness of its distribution, and not by hardness, which was a property of the finished blade. The first and second differed in evenness alone. The third was even but low in carbon, and the fourth was uneven and high, which was the one combination without toughness at any temper, and the only one of the four beyond correction.","A smith in the hills graded her steel in four names and sold the third for the price of the first, and no lord who bought it ever complained. Her daughter asked why. She said the fourth grade broke, and the first grade held, and the second and third both held, and only one man in a hundred could tell the second from the third, and none of them bought steel.","The four grades were distinguished by carbon and by the evenness of its distribution, and not by hardness, which was a property of the finished blade. The first and second differed in evenness alone. The third was even but low in carbon, and the fourth was uneven and high, which was the one combination without toughness at any temper, and the only one of the four beyond correction.",71,68
v2-tr-26,train,present,realistic,taxonomy,present,present,both_present,valley_sky,"Continue the text below.

Ilinca has the barometer on the sill and the barometer says nothing has changed since Tuesday. The sky says otherwise. There is a sheet of grey over the whole valley with a hole in it directly above the house, a clean-edged hole about a mile across, and inside the hole the air is perfectly clear, and the sheet has not moved in either direction for two days.","Continue the text below.

Stratus differs from altostratus in altitude and in edge: the lower sheet is diffuse at its margins, the higher one sharp enough to cast a defined shadow. Both are layer forms and neither is a convective form. A hole in a layer form is classed by its edge rather than by its size, since a sharp edge belongs to subsidence and a ragged one to erosion.","Ilinca has the barometer on the sill and the barometer says nothing has changed since Tuesday. The sky says otherwise. There is a sheet of grey over the whole valley with a hole in it directly above the house, a clean-edged hole about a mile across, and inside the hole the air is perfectly clear, and the sheet has not moved in either direction for two days.","Stratus differs from altostratus in altitude and in edge: the lower sheet is diffuse at its margins, the higher one sharp enough to cast a defined shadow. Both are layer forms and neither is a convective form. A hole in a layer form is classed by its edge rather than by its size, since a sharp edge belongs to subsidence and a ragged one to erosion.",67,66
v2-tr-27,train,scenic_past,non_realistic,topographic,past,present,default,foreshore,"Continue the text below.

The tide was out past the second bar when Marek saw the boat, and it was coming in without a wake. He watched it cross water too shallow to float it. When it grounded, nothing stepped off. He walked down to the hull and found it dry to the touch, dry inside, dry along the keel where it had come up through six feet of sea, and warm.","Continue the text below.

Three bars lie parallel to the shingle, the outermost above water only at the lowest tides. Between the second bar and the shore the depth at slack is under two feet, too little for a keeled hull, and the bed is firm sand rather than mud. The landward side of each bar is the drier of the two, and the whole foreshore is above the waterline for six hours in twelve.","The tide was out past the second bar when Marek saw the boat, and it was coming in without a wake. He watched it cross water too shallow to float it. When it grounded, nothing stepped off. He walked down to the hull and found it dry to the touch, dry inside, dry along the keel where it had come up through six feet of sea, and warm.","Three bars lie parallel to the shingle, the outermost above water only at the lowest tides. Between the second bar and the shore the depth at slack is under two feet, too little for a keeled hull, and the bed is firm sand rather than mud. The landward side of each bar is the drier of the two, and the whole foreshore is above the waterline for six hours in twelve.",68,71
