pair_id,src_id,batch,domain,split,narr_mode,genre,realism,nonnarr_style,tense_narr,tense_nonnarr,tense_polarity,context,arm,label,prompt,text,n_words
v2k-tr-0008,b01-08,1,maritime_and_rivers,train,scenic,horror_quiet,non_realistic,quantitative,present,past,reversed,weir_crest_discharge,nonnarrative,0,"Continue the text below.

Discharge over a level crest stood in proportion to the three-halves power of the head above it, so a doubling of head gave rather less than a trebling of flow. The coefficient was a property of the crest profile and of the approach, and no property of the head at all. Below an inch or so of head the relation did not hold, surface tension being of the same order as the weight of the sheet.","Discharge over a level crest stood in proportion to the three-halves power of the head above it, so a doubling of head gave rather less than a trebling of flow. The coefficient was a property of the crest profile and of the approach, and no property of the head at all. Below an inch or so of head the relation did not hold, surface tension being of the same order as the weight of the sheet.",76
v2k-tr-0009,b01-09,1,maritime_and_rivers,train,mythic,myth,non_realistic,legal_def,past,past,both_past,fish_weir_hedge,narrative,1,"Continue the text below.

Before the river had a name it was told that the salmon owed the people every tenth fish, and the debt was gathered in a hedge of woven stakes set across the shallows at the ford. The first hedge was cut in one night from one willow. What the hedge took, the people ate; what passed it went up to the spawning beds, and the river kept the count itself, and no year was ever short.","Before the river had a name it was told that the salmon owed the people every tenth fish, and the debt was gathered in a hedge of woven stakes set across the shallows at the ford. The first hedge was cut in one night from one willow. What the hedge took, the people ate; what passed it went up to the spawning beds, and the river kept the count itself, and no year was ever short.",76
v2k-tr-0009,b01-09,1,maritime_and_rivers,train,mythic,myth,non_realistic,legal_def,past,past,both_past,fish_weir_hedge,nonnarrative,0,"Continue the text below.

For the purposes of this part a fixed engine meant any hedge, crib or basket set in the bed of a tidal river for the taking of fish, whether staked or weighted. Where a hedge stood on the shore below the line of low water, the right to it was several and not common. Nothing in this part affected a right of fishery held by grant or by prescription at the commencement of this part.","For the purposes of this part a fixed engine meant any hedge, crib or basket set in the bed of a tidal river for the taking of fish, whether staked or weighted. Where a hedge stood on the shore below the line of low water, the right to it was several and not common. Nothing in this part affected a right of fishery held by grant or by prescription at the commencement of this part.",75
v2k-tr-0010,b01-10,1,maritime_and_rivers,train,oral,magical_realism,non_realistic,catalogue,past,present,default,eel_grig_range,narrative,1,"Continue the text below.

They still talk about the grigs old Bassa set in the drain below the pumping station, and how one of them came up heavy every morning of that summer. Not eels. Coins, mostly, and once a brass door plate with no lettering on it, and the drain went nowhere but a field. She sold the coins and bought two more grigs, and those came up empty for eleven years, and the first one went on filling.","They still talk about the grigs old Bassa set in the drain below the pumping station, and how one of them came up heavy every morning of that summer. Not eels. Coins, mostly, and once a brass door plate with no lettering on it, and the drain went nowhere but a field. She sold the coins and bought two more grigs, and those came up empty for eleven years, and the first one went on filling.",76
v2k-tr-0010,b01-10,1,maritime_and_rivers,train,oral,magical_realism,non_realistic,catalogue,past,present,default,eel_grig_range,nonnarrative,0,"Continue the text below.

The range runs to three patterns of willow grig, of which the middle is the commonest on inland water. Each is a tapered basket some three feet long, with a funnel throat at the mouth and a second throat two thirds of the way in. The smallest has one throat only and a withy handle at the tail. All three are open at the tail. Each is closed there with a plug of twisted straw.","The range runs to three patterns of willow grig, of which the middle is the commonest on inland water. Each is a tapered basket some three feet long, with a funnel throat at the mouth and a second throat two thirds of the way in. The smallest has one throat only and a withy handle at the tail. All three are open at the tail. Each is closed there with a plug of twisted straw.",75
v2k-tr-0011,b01-11,1,maritime_and_rivers,train,reported,mystery,realistic,criterial,past,present,default,pilot_cutter_boarding,narrative,1,"Continue the text below.

The pilot cutter out of the western harbour put a pilot aboard an inbound timber ship at four in the morning of the fifteenth, in a lee swell, on the third pass. The ladder was two rungs short of the water. The pilot went up it and the cutter stood off, and the ship carried on inbound at seven knots with nobody at all on her bridge and her helm lashed amidships.","The pilot cutter out of the western harbour put a pilot aboard an inbound timber ship at four in the morning of the fifteenth, in a lee swell, on the third pass. The ladder was two rungs short of the water. The pilot went up it and the cutter stood off, and the ship carried on inbound at seven knots with nobody at all on her bridge and her helm lashed amidships.",72
v2k-tr-0011,b01-11,1,maritime_and_rivers,train,reported,mystery,realistic,criterial,past,present,default,pilot_cutter_boarding,nonnarrative,0,"Continue the text below.

A boarding is classed on the ladder and on the swell, and never on the number of passes a cutter makes. A ladder short of the water by two rungs is disqualifying at any swell, since the reach of a pilot rather than the height of a ship sets the limit. Speed of the ship bears on the cause of a refused boarding and not on its class. Darkness is no part of the classification.","A boarding is classed on the ladder and on the swell, and never on the number of passes a cutter makes. A ladder short of the water by two rungs is disqualifying at any swell, since the reach of a pilot rather than the height of a ship sets the limit. Speed of the ship bears on the cause of a refused boarding and not on its class. Darkness is no part of the classification.",75
v2k-tr-0012,b01-12,1,maritime_and_rivers,train,episodic,realist_work,realistic,rules,past,past,both_past,towline_meeting_rules,narrative,1,"Continue the text below.

Twice in one week Iwan met a loaded boat coming the other way on the narrow reach above the aqueduct, and twice he dropped his line in the water and let the other horse walk over it. The third time the other boat dropped its line first. Both lines went slack in the same pound, both horses stood still, and the two boatmen were fifty yards apart on the path and neither would pick up.","Twice in one week Iwan met a loaded boat coming the other way on the narrow reach above the aqueduct, and twice he dropped his line in the water and let the other horse walk over it. The third time the other boat dropped its line first. Both lines went slack in the same pound, both horses stood still, and the two boatmen were fifty yards apart on the path and neither would pick up.",75
v2k-tr-0012,b01-12,1,maritime_and_rivers,train,episodic,realist_work,realistic,rules,past,past,both_past,towline_meeting_rules,nonnarrative,0,"Continue the text below.

A boat under tow held the path only with its line clear of the water. Two lines in the water together was a drawn position, in which neither boat had a claim on the other. Dropping a line was a move; refusing to drop one was not a move and could not be answered. A loaded boat outranked an empty one, and rank was independent of which boat stood nearer the narrows.","A boat under tow held the path only with its line clear of the water. Two lines in the water together was a drawn position, in which neither boat had a claim on the other. Dropping a line was a move; refusing to drop one was not a move and could not be answered. A loaded boat outranked an empty one, and rank was independent of which boat stood nearer the narrows.",72
v2k-tr-0013,b01-13,1,maritime_and_rivers,train,chronicle,premodern,realistic,morphology,past,present,default,capstan_pawl_ring,narrative,1,"Continue the text below.

The capstan on the north head was taken down in the eleventh year of the works and its barrel found sound. Eight bars, eight sockets, and a pawl ring worn through on one side to the thickness of a coin. The masons set it up again on the same step with the ring turned a quarter round, and the entry for that year records the cost of nothing but the pin.","The capstan on the north head was taken down in the eleventh year of the works and its barrel found sound. Eight bars, eight sockets, and a pawl ring worn through on one side to the thickness of a coin. The masons set it up again on the same step with the ring turned a quarter round, and the entry for that year records the cost of nothing but the pin.",71
v2k-tr-0013,b01-13,1,maritime_and_rivers,train,chronicle,premodern,realistic,morphology,past,present,default,capstan_pawl_ring,nonnarrative,0,"Continue the text below.

A capstan consists of a barrel, a spindle within it, a drumhead pierced for the bars, and a ring of iron let into the step below. The pawls hang from the barrel and bear on the teeth of that ring. Two are usual and three are found on the heavier patterns. The whelps stand proud of the barrel to hold the turns of a rope off the wood.","A capstan consists of a barrel, a spindle within it, a drumhead pierced for the bars, and a ring of iron let into the step below. The pawls hang from the barrel and bear on the teeth of that ring. Two are usual and three are found on the heavier patterns. The whelps stand proud of the barrel to hold the turns of a rope off the wood.",68
v2k-tr-0014,b01-14,1,maritime_and_rivers,train,scenic,weird,non_realistic,spec,present,past,reversed,anchor_cable_shackle,narrative,1,"Continue the text below.

Fifteen fathoms out and the cable is coming up the wrong way. Odile has the brake off and the windlass turning ahead, and every shackle that passes the stopper is one she has counted before, the same joining piece with the same white paint mark, nine times now. The locker below is empty. She stops the windlass and the cable goes on coming, hand over hand, out of nothing at the stem.","Fifteen fathoms out and the cable is coming up the wrong way. Odile has the brake off and the windlass turning ahead, and every shackle that passes the stopper is one she has counted before, the same joining piece with the same white paint mark, nine times now. The locker below is empty. She stops the windlass and the cable goes on coming, hand over hand, out of nothing at the stem.",72
v2k-tr-0014,b01-14,1,maritime_and_rivers,train,scenic,weird,non_realistic,spec,present,past,reversed,anchor_cable_shackle,nonnarrative,0,"Continue the text below.

Cable was required to be marked at every shackle, the mark being on the stud of the link next the joining piece and repeated on the deck. A joining shackle was permitted in the outboard length only where a ranging length had been cut out. Riding was to be on not less than three shackles in any depth over ten fathoms, and the brake was to hold the full weight with the compressor off.","Cable was required to be marked at every shackle, the mark being on the stud of the link next the joining piece and repeated on the deck. A joining shackle was permitted in the outboard length only where a ranging length had been cut out. Riding was to be on not less than three shackles in any depth over ten fathoms, and the brake was to hold the full weight with the compressor off.",74
v2k-tr-0015,b01-15,1,maritime_and_rivers,train,free_indirect,sea_voyage,realistic,technical,present,present,both_present,bilge_chain_pump,narrative,1,"Continue the text below.

Four men on the flywheel and the pump is bringing up nothing, which cannot be, because the well sounds three feet and the chain is turning. Kazi leans over the tube and listens. Air, the whole way down — which means no bucket in the tube is sealing, which means the leather has gone in forty of them at the same hour, and he does not believe it, and the well still sounds three feet.","Four men on the flywheel and the pump is bringing up nothing, which cannot be, because the well sounds three feet and the chain is turning. Kazi leans over the tube and listens. Air, the whole way down — which means no bucket in the tube is sealing, which means the leather has gone in forty of them at the same hour, and he does not believe it, and the well still sounds three feet.",74
v2k-tr-0015,b01-15,1,maritime_and_rivers,train,free_indirect,sea_voyage,realistic,technical,present,present,both_present,bilge_chain_pump,nonnarrative,0,"Continue the text below.

A chain pump lifts water in a closed tube by a series of discs on an endless chain, each disc sealing against the bore with a leather rim. Delivery is a function of the fit at that rim and of the speed of the chain, and is independent of the depth of water in the well. With any disc unsealed the column above it stands on the disc below rather than on the wheel.","A chain pump lifts water in a closed tube by a series of discs on an endless chain, each disc sealing against the bore with a leather rim. Delivery is a function of the fit at that rim and of the speed of the chain, and is independent of the depth of water in the well. With any disc unsealed the column above it stands on the disc below rather than on the wheel.",74
v2k-tr-0016,b01-16,1,maritime_and_rivers,train,folktale,folk_fantasy,non_realistic,encyclopedic,past,present,default,ropewalk_spinning_walk,narrative,1,"Continue the text below.

A quarter of a mile of open walk on the shore road, and the spinners went down it backwards from dawn with hemp round their waists, paying out as they walked. A girl was taken on at the far end to turn the wheel. She turned it for a year, and the rope that came off it never wanted tarring, and it would not part, and the salt rotted every other rope in that harbour.","A quarter of a mile of open walk on the shore road, and the spinners went down it backwards from dawn with hemp round their waists, paying out as they walked. A girl was taken on at the far end to turn the wheel. She turned it for a year, and the rope that came off it never wanted tarring, and it would not part, and the salt rotted every other rope in that harbour.",75
v2k-tr-0016,b01-16,1,maritime_and_rivers,train,folktale,folk_fantasy,non_realistic,encyclopedic,past,present,default,ropewalk_spinning_walk,nonnarrative,0,"Continue the text below.

A ropewalk is a long roofed or open way in which yarn is laid up into rope at full length, the length of the walk fixing the length of the finished coil. Twist is put into the yarn one way and into the strand the other, so that the two oppose. Strength depends on that opposition rather than on the tar. A walk is therefore narrow, level, and long out of all proportion to its width.","A ropewalk is a long roofed or open way in which yarn is laid up into rope at full length, the length of the walk fixing the length of the finished coil. Twist is put into the yarn one way and into the strand the other, so that the two oppose. Strength depends on that opposition rather than on the tar. A walk is therefore narrow, level, and long out of all proportion to its width.",76
v2k-tr-0017,b01-17,1,maritime_and_rivers,train,mythic,myth,non_realistic,encyclopedic,past,past,both_past,estuary_tidal_mill,narrative,1,"Continue the text below.

In the age when the tide still argued with the rivers, a mill was set at the head of an estuary to keep the peace between them, and the sea agreed to fill its pond twice a day and to ask nothing back. The mill ground on the ebb alone. For nine generations the bargain held, and then the pond filled on a night with no tide in it, and the wheel turned for the sea.","In the age when the tide still argued with the rivers, a mill was set at the head of an estuary to keep the peace between them, and the sea agreed to fill its pond twice a day and to ask nothing back. The mill ground on the ebb alone. For nine generations the bargain held, and then the pond filled on a night with no tide in it, and the wheel turned for the sea.",76
v2k-tr-0017,b01-17,1,maritime_and_rivers,train,mythic,myth,non_realistic,encyclopedic,past,past,both_past,estuary_tidal_mill,nonnarrative,0,"Continue the text below.

A tidal mill was a mill whose head of water was got by impounding the flood in a pond behind a gate, the gate being self-closing against the ebb. Its working period was a function of the range and of the area of the pond, and was confined to the ebb. Grinding on the flood was impossible, the head in that case standing the wrong way across the wheel. Two periods in the day were usual.","A tidal mill was a mill whose head of water was got by impounding the flood in a pond behind a gate, the gate being self-closing against the ebb. Its working period was a function of the range and of the area of the pond, and was confined to the ebb. Grinding on the flood was impossible, the head in that case standing the wrong way across the wheel. Two periods in the day were usual.",76
v2k-tr-0018,b01-18,1,maritime_and_rivers,train,reported,post_apocalyptic,non_realistic,statistical,past,past,both_past,log_raft_boom_losses,narrative,1,"Continue the text below.

A raft of some nine hundred logs was brought down the drowned reach to the mill town on the eleventh day of the thaw, crewed by four from the upper camp. Nothing was lost off it. The boom that held it was a single length of chain of unknown make, taken out of a flooded yard, and the crew reported the chain warm along its whole length in still water and cold under way.","A raft of some nine hundred logs was brought down the drowned reach to the mill town on the eleventh day of the thaw, crewed by four from the upper camp. Nothing was lost off it. The boom that held it was a single length of chain of unknown make, taken out of a flooded yard, and the crew reported the chain warm along its whole length in still water and cold under way.",74
v2k-tr-0018,b01-18,1,maritime_and_rivers,train,reported,post_apocalyptic,non_realistic,statistical,past,past,both_past,log_raft_boom_losses,nonnarrative,0,"Continue the text below.

Losses off a driven raft varied more between reaches than between crews, and the median loss stood near four logs in a hundred. A third of all recorded loss was put by rafters to one bend, where the current set across the line of the boom. Boom material accounted for little of the spread. Crews of four returned losses no different from those of crews of six over the same water in the same season.","Losses off a driven raft varied more between reaches than between crews, and the median loss stood near four logs in a hundred. A third of all recorded loss was put by rafters to one bend, where the current set across the line of the boom. Boom material accounted for little of the spread. Crews of four returned losses no different from those of crews of six over the same water in the same season.",75
v2k-tr-0019,b01-19,1,maritime_and_rivers,train,oral,realist_domestic,realistic,taxonomy,past,present,default,punt_plank_classes,narrative,1,"Continue the text below.

Everybody along that stretch had a punt off the same builder, and everybody knew which of the two she had built it in. The early ones were cross-planked and drummed like a barrel when a heel came down on the floor. The later ones were boarded fore and aft, quiet as a table. Her own punt was cross-planked, and she kept it in the shed and poled a borrowed one on the water.","Everybody along that stretch had a punt off the same builder, and everybody knew which of the two she had built it in. The early ones were cross-planked and drummed like a barrel when a heel came down on the floor. The later ones were boarded fore and aft, quiet as a table. Her own punt was cross-planked, and she kept it in the shed and poled a borrowed one on the water.",73
v2k-tr-0019,b01-19,1,maritime_and_rivers,train,oral,realist_domestic,realistic,taxonomy,past,present,default,punt_plank_classes,nonnarrative,0,"Continue the text below.

A cross-planked bottom differs from a fore-and-aft one in the direction of its boards and, following from that, in what takes the strain of a swelled seam. In the first the strain lies across the chines; in the second it lies along them. A double bottom belongs to neither class, having boards in both directions with a layer of calico between. Drumming under a heel is a property of the first.","A cross-planked bottom differs from a fore-and-aft one in the direction of its boards and, following from that, in what takes the strain of a swelled seam. In the first the strain lies across the chines; in the second it lies along them. A double bottom belongs to neither class, having boards in both directions with a layer of calico between. Drumming under a heel is a property of the first.",71
v2k-tr-0020,b01-20,1,maritime_and_rivers,train,chronicle,alt_history,non_realistic,legal_def,past,present,default,oyster_layings_title,narrative,1,"Continue the text below.

In the fourth year of the Regency of the Estuaries the layings below the old cement works were granted in severalty to nine families, one rood to each, marked with withies. The grant was recorded twice, once in the water bailiff's book and once on a lead plate sunk at the middle stake. In the same year the plate was raised for reading and found to carry eleven names.","In the fourth year of the Regency of the Estuaries the layings below the old cement works were granted in severalty to nine families, one rood to each, marked with withies. The grant was recorded twice, once in the water bailiff's book and once on a lead plate sunk at the middle stake. In the same year the plate was raised for reading and found to carry eleven names.",69
v2k-tr-0020,b01-20,1,maritime_and_rivers,train,chronicle,alt_history,non_realistic,legal_def,past,present,default,oyster_layings_title,nonnarrative,0,"Continue the text below.

A laying, for the purposes of this part, means any part of the bed of a tidal water in which oysters are kept, whether or not they were bred there. Where a laying is held in severalty, the several right is in the oysters and in the ground under them alike. Nothing in this part affects the public right of navigation over a laying at any state of the tide.","A laying, for the purposes of this part, means any part of the bed of a tidal water in which oysters are kept, whether or not they were bred there. Where a laying is held in severalty, the several right is in the oysters and in the ground under them alike. Nothing in this part affects the public right of navigation over a laying at any state of the tide.",70
v2k-tr-0021,b01-21,1,maritime_and_rivers,train,free_indirect,institutional,realistic,quantitative,present,past,reversed,breakwater_armour_mass,narrative,1,"Continue the text below.

Twenty-two blocks out of place on the seaward slope, and Nazario is on the crest with the plan in his hands doing the arithmetic of it. The blocks are eight tons apiece. Nothing in the harbour lifts eight tons, and the sea the night before was four feet on the gauge. Somebody has been at them is the only reading he can put on it, and the fit of them is far too neat for that.","Twenty-two blocks out of place on the seaward slope, and Nazario is on the crest with the plan in his hands doing the arithmetic of it. The blocks are eight tons apiece. Nothing in the harbour lifts eight tons, and the sea the night before was four feet on the gauge. Somebody has been at them is the only reading he can put on it, and the fit of them is far too neat for that.",76
v2k-tr-0021,b01-21,1,maritime_and_rivers,train,free_indirect,institutional,realistic,quantitative,present,past,reversed,breakwater_armour_mass,nonnarrative,0,"Continue the text below.

Stability of an armour unit was a matter of mass, and the mass required varied as the cube of the wave height it stood against, so that a doubling of height called for eight times the block. The constant was a property of the slope and of the shape of the unit rather than of the sea. Beyond the point at which units interlocked the relation weakened, the slope standing as one body of greater mass.","Stability of an armour unit was a matter of mass, and the mass required varied as the cube of the wave height it stood against, so that a doubling of height called for eight times the block. The constant was a property of the slope and of the shape of the unit rather than of the sea. Beyond the point at which units interlocked the relation weakened, the slope standing as one body of greater mass.",76
